iter	RMSE
301	0.3532969677
302	0.3532671733
303	0.3532373542
304	0.3532075863
305	0.3531779408
306	0.3531482383
307	0.3531185495
308	0.3530888884
309	0.3530592781
310	0.3530297917
311	0.3530002392
312	0.3529707066
313	0.3529412624
314	0.3529118271
315	0.3528824657
316	0.3528530877
317	0.3528237729
318	0.3527944744
319	0.3527651312
320	0.3527358091
321	0.3527065189
322	0.3526772648
323	0.3526480985
324	0.3526189656
325	0.3525898324
326	0.3525607702
327	0.3525316852
328	0.352502636
329	0.3524736791
330	0.352444689
331	0.3524157127
332	0.3523868125
333	0.3523579628
334	0.3523290782
335	0.3523002261
336	0.3522714461
337	0.3522426515
338	0.3522138967
339	0.3521852106
340	0.3521565429
341	0.3521278679
342	0.3520992259
343	0.3520706025
344	0.3520420194
345	0.3520134397
346	0.351984886
347	0.3519562908
348	0.3519277332
349	0.351899268
350	0.3518707772
351	0.351842438
352	0.3518140824
353	0.3517856584
354	0.3517573535
355	0.3517289823
356	0.3517007347
357	0.3516725091
358	0.3516442911
359	0.3516160914
360	0.3515878383
361	0.3515597566
362	0.3515315569
363	0.3515033825
364	0.3514752233
365	0.3514471838
366	0.3514190869
367	0.3511989184
368	0.3511708396
369	0.3511427585
370	0.3511147976
371	0.3510868298
372	0.3510587942
373	0.3510307762
374	0.3510027715
375	0.3509748575
376	0.3509468659
377	0.3509189065
378	0.3508909676
379	0.3508631298
380	0.3508353377
381	0.3508075804
382	0.3507797491
383	0.3507520363
384	0.3507242659
385	0.3506966078
386	0.3506688691
387	0.3506411524
388	0.3506134604
389	0.3505858814
390	0.3505583191
391	0.3505306917
392	0.3505030888
393	0.3504755078
394	0.3504480087
395	0.3504205367
396	0.350393034
397	0.3503655597
398	0.3503381117
399	0.3503106818
400	0.3502832721
401	0.3502558751
402	0.3502284941
403	0.3502011748
404	0.3501738146
405	0.3501465165
406	0.3501191697
407	0.3500918997
408	0.3500645911
409	0.3500373002
410	0.350010097
411	0.349982877
412	0.3499556758
413	0.3499285526
414	0.3499014058
415	0.3498742928
416	0.3498471923
417	0.3498201494
418	0.3497930819
419	0.349766087
420	0.3497390712
421	0.3497121337
422	0.3496852065
423	0.34965824
424	0.3496312949
425	0.349604418
426	0.3495775136
427	0.3495506976
428	0.349523852
429	0.3494970771
430	0.3494703087
431	0.3494435548
432	0.3494167711
433	0.3493900508
434	0.3493633416
435	0.3493366463
436	0.3493099074
437	0.3492831783
438	0.3492564558
439	0.3492298008
440	0.3490134448
441	0.348986763
442	0.3489600546
443	0.3489334208
444	0.3489068176
445	0.3488801881
446	0.3488536349
447	0.348827101
448	0.348800596
449	0.3487740547
450	0.3487476059
451	0.3487211697
452	0.3486946682
453	0.348668263
454	0.3486417921
455	0.3486154149
456	0.3485889823
457	0.3485625717
458	0.3485362405
459	0.3485098676
460	0.3484835128
461	0.3484572592
462	0.3484309439
463	0.3484046602
464	0.3483783986
465	0.3483522305
466	0.3483259934
467	0.3482998278
468	0.348273683
469	0.348247557
470	0.3482213804
471	0.3481952776
472	0.3481691233
473	0.3481430367
474	0.3481168933
475	0.3480907619
476	0.3480646495
477	0.3480386335
478	0.348012539
479	0.3479865177
480	0.3479605288
481	0.3479345095
482	0.3479085644
483	0.3478825823
484	0.3478566201
485	0.3478307405
486	0.3478048277
487	0.3477789838
488	0.3477532015
489	0.3477273903
490	0.3477015205
491	0.3476756681
492	0.3476498409
493	0.3476241043
494	0.3475983092
495	0.3475725371
496	0.3475467849
497	0.3475210495
498	0.3474953452
499	0.3474696667
500	0.3474440071
501	0.3474183621
502	0.3473927667
503	0.3473671486
504	0.3473415487
505	0.3473159943
506	0.3472904524
507	0.3472649222
508	0.3472393977
509	0.3472138765
510	0.3471883227
511	0.3471628214
512	0.3471373297
513	0.3471118097
514	0.3470862979
515	0.3470607972
516	0.3470353509
517	0.347009932
518	0.3469844975
519	0.3469591151
520	0.3469337501
521	0.3469084016
522	0.3468830677
523	0.3468577598
524	0.346832465
525	0.3468071807
526	0.3467819102
527	0.3467566542
528	0.3467313669
529	0.3467061524
530	0.346680965
531	0.3466557321
532	0.346630512
533	0.3466053773
534	0.3464128006
535	0.3463875479
536	0.3463623683
537	0.3463372382
538	0.3463121277
539	0.3462869883
540	0.3462618668
541	0.3462367981
542	0.3462117486
543	0.3461866705
544	0.3461616448
545	0.3461365962
546	0.3461115858
547	0.3460865572
548	0.3460615446
549	0.3460365646
550	0.3460115665
551	0.3459866101
552	0.3459616654
553	0.3459367369
554	0.3459118206
555	0.3458869126
556	0.3458620092
557	0.3458370772
558	0.3458122093
559	0.345787309
560	0.3457624546
561	0.345737616
562	0.3457127963
563	0.345687993
564	0.3456632284
565	0.3456384701
566	0.3456136824
567	0.3455889149
568	0.3453831508
569	0.3453583365
570	0.3453335717
571	0.3453088417
572	0.3452840857
573	0.3452593861
574	0.3452347274
575	0.345210012
576	0.3451853228
577	0.3451606919
578	0.3451360789
579	0.34511152
580	0.3450868931
581	0.3450623317
582	0.3450377836
583	0.345013246
584	0.3449886704
585	0.3449641624
586	0.344939668
587	0.344915195
588	0.3448907231
589	0.3448662709
590	0.3448417767
591	0.3448173493
592	0.3447929297
593	0.3447684589
594	0.3447440538
595	0.344719658
596	0.3446952109
597	0.3446708292
598	0.3446464729
599	0.3446220454
600	0.3445976246
601	0.3445732918
602	0.3445489024
603	0.3445245283
604	0.3445002658
605	0.3444759856
606	0.3444516526
607	0.3444273902
608	0.3444030765
609	0.3443788487
610	0.3443546385
611	0.3443304442
612	0.3443062006
613	0.3442819717
614	0.3442577511
615	0.3442335385
616	0.3442093951
617	0.3441852719
618	0.3441611544
619	0.3441369976
620	0.344112859
621	0.3440887364
622	0.3440646762
623	0.3440406421
624	0.3440166244
625	0.3439926158
626	0.3439685661
627	0.3439445293
628	0.3439205009
629	0.3438964906
630	0.3438724994
631	0.3438485635
632	0.3438245979
633	0.3438007004
634	0.3437767952
635	0.3437528609
636	0.3437289721
637	0.3437050882
638	0.3436812247
639	0.3436573174
640	0.3436334166
641	0.3436095719
642	0.3435857631
643	0.3435618791
644	0.3435380031
645	0.3435141931
646	0.3434903471
647	0.3434665595
648	0.343442738
649	0.3434189789
650	0.3433952471
651	0.3433715185
652	0.3433477963
653	0.3433241274
654	0.3433004834
655	0.3432767464
656	0.3432530932
657	0.3432294918
658	0.3432058651
659	0.3431821736
660	0.3431585594
661	0.343134885
662	0.3431112309
663	0.3430875874
664	0.3430639605
665	0.3430404059
666	0.3430168099
667	0.3429932851
668	0.3429697714
669	0.3429462193
670	0.3427823501
671	0.3427587627
672	0.3427352406
673	0.3427117398
674	0.3426882127
675	0.3426647469
676	0.3426412895
677	0.3426178479
678	0.3425943712
679	0.3424111047
680	0.3423876245
681	0.3423641615
682	0.3423407318
683	0.3423173038
684	0.3422939153
685	0.3422705138
686	0.342247154
687	0.3422237704
688	0.3422004381
689	0.3421770016
690	0.3421535716
691	0.3421301486
692	0.342106844
693	0.3420834394
694	0.3420600508
695	0.3420366671
696	0.3420133538
697	0.3419899996
698	0.3419666622
699	0.3419434525
700	0.3419201402
701	0.3418968354
702	0.3418736068
703	0.3418503941
704	0.3418271279
705	0.3418039387
706	0.3417807638
707	0.3417575343
708	0.3417343795
709	0.3417111727
710	0.3416880484
711	0.3416648611
712	0.341641761
713	0.3416186688
714	0.3415956381
715	0.3415724955
716	0.3415493719
717	0.3415263252
718	0.3415032273
719	0.3414801431
720	0.3414570762
721	0.3414340216
722	0.3414110324
723	0.3413879942
724	0.3413650277
725	0.3413420141
726	0.3413190236
727	0.3412960464
728	0.341273125
729	0.3412502159
730	0.341227314
731	0.3412044184
732	0.3411814834
733	0.3411585567
734	0.3411356347
735	0.3411127214
736	0.3410898622
737	0.3410670068
738	0.3410441075
739	0.3410212236
740	0.3409983546
741	0.3409755292
742	0.3409527096
743	0.3409298583
744	0.3409070614
745	0.340884278
746	0.340861526
747	0.3408387683
748	0.3408160158
749	0.3407932764
750	0.3407705418
751	0.3407478488
752	0.3407250895
753	0.3407023435
754	0.3406796636
755	0.3406569954
756	0.340634339
757	0.3406116934
758	0.3405889961
759	0.3405663069
760	0.3405436886
761	0.340521079
762	0.340498476
763	0.3404758323
764	0.3404532541
765	0.3404306878
766	0.3404080743
767	0.3403855434
768	0.3403629591
769	0.3403403904
770	0.3403178901
771	0.3402953989
772	0.3402729138
773	0.3402503798
774	0.3402278595
775	0.3402053527
776	0.3401829191
777	0.3401604934
778	0.3401380228
779	0.340115615
780	0.3400931629
781	0.3398692941
782	0.339846725
783	0.3398242092
784	0.3398016939
785	0.3397792189
786	0.3397567775
787	0.3397343403
788	0.3397119074
789	0.3396894959
790	0.3396670614
791	0.3396446864
792	0.3396223239
793	0.3395999059
794	0.3395774941
795	0.3395550893
796	0.3395327011
797	0.3395103307
798	0.3394879783
799	0.3394656808
800	0.3394433496
801	0.3394210721
802	0.3393987602
803	0.3393764586
804	0.3393542022
805	0.3393319167
806	0.3393096826
807	0.3392874268
808	0.3392652154
809	0.3392429807
810	0.3392207563
811	0.339198584
812	0.3391764109
813	0.33915428
814	0.3391321597
815	0.3391100458
816	0.3390879432
817	0.3390658586
818	0.339043795
819	0.3390217262
820	0.3389996219
821	0.3389775695
822	0.3389555484
823	0.3389334581
824	0.3389113802
825	0.3388893797
826	0.3388673664
827	0.3388453849
828	0.3388233269
829	0.3388012746
830	0.3387792359
831	0.3387572081
832	0.3387351848
833	0.3387132104
834	0.3386912456
835	0.3386692496
836	0.3386472615
837	0.3386253166
838	0.3386033395
839	0.3385813792
840	0.3385594825
841	0.3385376006
842	0.3385156635
843	0.3384937712
844	0.3384718434
845	0.3384499204
846	0.3382207386
847	0.3381988112
848	0.3381769273
849	0.3381550479
850	0.3381331318
851	0.3381112665
852	0.338089435
853	0.3380675913
854	0.3380457534
855	0.3380239242
856	0.3380021252
857	0.3379803585
858	0.3379586166
859	0.3379367757
860	0.3379150608
861	0.3378932414
862	0.3378714336
863	0.337849635
864	0.337827955
865	0.3378062448
866	0.3377845473
867	0.3377628779
868	0.3377412162
869	0.3377194875
870	0.3376978428
871	0.3376761317
872	0.3376544312
873	0.3376328672
874	0.3376112633
875	0.3375896655
876	0.3375680729
877	0.3375464124
878	0.3375247558
879	0.3375031075
880	0.3374815982
881	0.3374600797
882	0.3374385224
883	0.3374169781
884	0.3373954393
885	0.3373739595
886	0.3373523553
887	0.3373308375
888	0.3373093244
889	0.3372877402
890	0.3372662384
891	0.3372446708
892	0.3372231112
893	0.3372016331
894	0.3371800943
895	0.3371585642
896	0.3371371148
897	0.337115604
898	0.3370942062
899	0.3370727678
900	0.3370512719
901	0.3370297898
902	0.3370083765
903	0.3367943739
904	0.3367728639
905	0.3367513627
906	0.3367299084
907	0.3367085114
908	0.3366870321
909	0.3366655644
910	0.3366441076
911	0.3366226619
912	0.3364344176
913	0.3364129159
914	0.3363914558
915	0.3363700327
916	0.3363485918
917	0.3363272107
918	0.3363058298
919	0.3362844635
920	0.3362630662
921	0.3362417198
922	0.3362203409
923	0.3361990119
924	0.336177647
925	0.3361563733
926	0.336135093
927	0.3361138493
928	0.3360925897
929	0.3360713641
930	0.3360501163
931	0.336028874
932	0.3360075971
933	0.3359863745
934	0.3359651553
935	0.3359439415
936	0.3359226845
937	0.3359014333
938	0.3358802342
939	0.3356616246
940	0.3356403423
941	0.3356191003
942	0.3355978371
943	0.335576615
944	0.3355554117
945	0.335534229
946	0.3355130861
947	0.3354919244
948	0.3354707674
949	0.3354495579
950	0.3354284163
951	0.3354072834
952	0.3353861572
953	0.3353650367
954	0.3353438636
955	0.3353227015
956	0.3353016065
957	0.3352805549
958	0.3352594211
959	0.3352383511
960	0.3352172343
961	0.3351961311
962	0.3351750915
963	0.3351540059
964	0.33513293
965	0.3351119101
966	0.3350908968
967	0.335069892
968	0.3350488948
969	0.3350278522
970	0.3350068161
971	0.3349857867
972	0.3349647606
973	0.3349437425
974	0.3349227807
975	0.3349017862
976	0.334880845
977	0.3348598645
978	0.3348388912
979	0.3348179235
980	0.3347970039
981	0.3347761082
982	0.3347552011
983	0.3347342949
984	0.3347133587
985	0.3346924684
986	0.3346715809
987	0.3346507018
988	0.3346298334
989	0.3346089301
990	0.3345880723
991	0.3345672268
992	0.3345463568
993	0.3345254942
994	0.3345046743
995	0.3344838628
996	0.3344630611
997	0.3344422299
998	0.3344214068
999	0.3344005909
